aug,img_size,model,params,val_best,val_eval,test_acc,macro_precision,macro_recall,macro_f1
aug_light,32,densenet121,"7,043,654",0.7686,0.7642,0.675,0.6977446752332336,0.6749999999999999,0.6731234527746155
aug_light,40,densenet121,"7,043,654",0.7729,0.7686,0.6916666666666667,0.7160882221227048,0.6916666666666668,0.685602018585212
aug_light,48,densenet121,"7,043,654",0.7686,0.7686,0.7333333333333333,0.7565483898817232,0.7333333333333334,0.7319083632609121
aug_light,56,densenet121,"7,043,654",0.7686,0.738,0.7416666666666667,0.7669892199303964,0.7416666666666667,0.7374907137102259
aug_light,64,densenet121,"7,043,654",0.8079,0.8079,0.7083333333333334,0.7412128101783274,0.7083333333333334,0.7076205645270829
aug_light,80,densenet121,"7,043,654",0.821,0.8166,0.8083333333333333,0.8257575757575757,0.8083333333333332,0.8075396825396827
aug_light,96,densenet121,"7,043,654",0.8559,0.8559,0.8416666666666667,0.8605098605098606,0.8416666666666667,0.8420376922698903
aug_light,112,densenet121,"7,043,654",0.8603,0.8603,0.7916666666666666,0.8430158730158729,0.7916666666666666,0.7904065930642886
aug_light,128,densenet121,"7,043,654",0.8559,0.8559,0.7916666666666666,0.7977045067038673,0.7916666666666666,0.7911624248833551
aug_light,160,densenet121,"7,043,654",0.8865,0.8821,0.825,0.842929292929293,0.8250000000000001,0.8239898989898989
aug_light,192,densenet121,"7,043,654",0.8865,0.8865,0.8666666666666667,0.886812619784756,0.8666666666666667,0.8702837452837452
aug_light,224,densenet121,"7,043,654",0.8908,0.8821,0.85,0.8793586400077272,0.85,0.8559628896140907
aug_light,256,densenet121,"7,043,654",0.8952,0.8777,0.8333333333333334,0.8663817663817664,0.8333333333333334,0.8350352271515629
aug_light,299,densenet121,"7,043,654",0.8952,0.8865,0.8666666666666667,0.8796478375425744,0.8666666666666667,0.8661701660298129
aug_light,32,efficientnet_b0,"4,057,257",0.7336,0.6987,0.6333333333333333,0.6497252747252747,0.6333333333333334,0.628892651327699
aug_light,40,efficientnet_b0,"4,057,257",0.7467,0.738,0.6916666666666667,0.718541986687148,0.6916666666666665,0.6825478820306277
aug_light,48,efficientnet_b0,"4,057,257",0.7555,0.7555,0.7416666666666667,0.7473867348009224,0.7416666666666667,0.7379799251608667
aug_light,56,efficientnet_b0,"4,057,257",0.7948,0.7729,0.7166666666666667,0.7397796239708004,0.7166666666666667,0.7145350841997183
aug_light,64,efficientnet_b0,"4,057,257",0.8166,0.8166,0.775,0.8007215007215006,0.7749999999999999,0.7702724829769306
aug_light,80,efficientnet_b0,"4,057,257",0.8603,0.8603,0.7916666666666666,0.7979260544797628,0.7916666666666666,0.790923084173226
aug_light,96,efficientnet_b0,"4,057,257",0.869,0.869,0.7916666666666666,0.8055555555555554,0.7916666666666666,0.789924506387921
aug_light,112,efficientnet_b0,"4,057,257",0.8821,0.8646,0.7916666666666666,0.7968904733610617,0.7916666666666666,0.7923982115252975
aug_light,128,efficientnet_b0,"4,057,257",0.8865,0.8734,0.825,0.8404143323996265,0.8249999999999998,0.8283808198442345
aug_light,160,efficientnet_b0,"4,057,257",0.8734,0.8559,0.8333333333333334,0.856294032764621,0.8333333333333334,0.8344872447103895
aug_light,192,efficientnet_b0,"4,057,257",0.8996,0.8646,0.8583333333333333,0.8669099832915622,0.8583333333333334,0.8590403724550066
aug_light,224,efficientnet_b0,"4,057,257",0.8821,0.869,0.825,0.8451388888888888,0.8250000000000001,0.8269590643274854
aug_light,256,efficientnet_b0,"4,057,257",0.8952,0.8952,0.8916666666666667,0.9090601757944556,0.8916666666666666,0.8928111785254643
aug_light,299,efficientnet_b0,"4,057,257",0.8865,0.8734,0.9083333333333333,0.9197530864197531,0.9083333333333332,0.9090322125036572
aug_light,80,inception_v3,"21,815,078",0.8122,0.8122,0.7166666666666667,0.7472485768500948,0.7166666666666667,0.7117255730258826
aug_light,96,inception_v3,"21,815,078",0.7817,0.7642,0.7416666666666667,0.7853652867264481,0.7416666666666666,0.7353126484899885
aug_light,112,inception_v3,"21,815,078",0.8035,0.8035,0.7,0.7406149406149406,0.6999999999999998,0.698682837845286
aug_light,128,inception_v3,"21,815,078",0.8035,0.786,0.6916666666666667,0.7562599681020733,0.6916666666666668,0.6991750092695588
aug_light,160,inception_v3,"21,815,078",0.8559,0.8559,0.825,0.8440413752913752,0.8250000000000001,0.8289049919484701
aug_light,192,inception_v3,"21,815,078",0.8559,0.8559,0.8083333333333333,0.8480842911877394,0.8083333333333332,0.8118274582560296
