InputSize,Model,Aug,Class,precision,recall,f1,support
32,densenet121,aug_light,atopic_dermatitis,0.6842105263157895,0.65,0.6666666666666666,20
32,densenet121,noaug,atopic_dermatitis,0.6363636363636364,0.7,0.6666666666666666,20
40,densenet121,aug_light,atopic_dermatitis,0.5517241379310345,0.8,0.6530612244897959,20
40,densenet121,noaug,atopic_dermatitis,0.6,0.75,0.6666666666666666,20
48,densenet121,aug_light,atopic_dermatitis,0.6153846153846154,0.8,0.6956521739130435,20
48,densenet121,noaug,atopic_dermatitis,0.5769230769230769,0.75,0.6521739130434783,20
56,densenet121,aug_light,atopic_dermatitis,0.6190476190476191,0.65,0.6341463414634146,20
56,densenet121,noaug,atopic_dermatitis,0.5909090909090909,0.65,0.6190476190476191,20
64,densenet121,aug_light,atopic_dermatitis,0.5769230769230769,0.75,0.6521739130434783,20
64,densenet121,noaug,atopic_dermatitis,0.6,0.75,0.6666666666666666,20
80,densenet121,aug_light,atopic_dermatitis,0.6818181818181818,0.75,0.7142857142857143,20
80,densenet121,noaug,atopic_dermatitis,0.6666666666666666,0.8,0.7272727272727273,20
96,densenet121,aug_light,atopic_dermatitis,0.6428571428571429,0.9,0.75,20
96,densenet121,noaug,atopic_dermatitis,0.6071428571428571,0.85,0.7083333333333334,20
112,densenet121,aug_light,atopic_dermatitis,0.6333333333333333,0.95,0.76,20
112,densenet121,noaug,atopic_dermatitis,0.7391304347826086,0.85,0.7906976744186046,20
128,densenet121,aug_light,atopic_dermatitis,0.6956521739130435,0.8,0.7441860465116279,20
128,densenet121,noaug,atopic_dermatitis,0.7894736842105263,0.75,0.7692307692307693,20
160,densenet121,aug_light,atopic_dermatitis,0.6666666666666666,0.8,0.7272727272727273,20
160,densenet121,noaug,atopic_dermatitis,0.68,0.85,0.7555555555555555,20
192,densenet121,aug_light,atopic_dermatitis,0.6428571428571429,0.9,0.75,20
192,densenet121,noaug,atopic_dermatitis,0.68,0.85,0.7555555555555555,20
224,densenet121,aug_light,atopic_dermatitis,0.6206896551724138,0.9,0.7346938775510204,20
224,densenet121,noaug,atopic_dermatitis,0.72,0.9,0.8,20
256,densenet121,aug_light,atopic_dermatitis,0.6538461538461539,0.85,0.7391304347826086,20
256,densenet121,noaug,atopic_dermatitis,0.5714285714285714,1.0,0.7272727272727273,20
299,densenet121,aug_light,atopic_dermatitis,0.7307692307692307,0.95,0.8260869565217391,20
299,densenet121,noaug,atopic_dermatitis,0.7307692307692307,0.95,0.8260869565217391,20
32,efficientnet_b0,aug_light,atopic_dermatitis,0.46153846153846156,0.6,0.5217391304347826,20
32,efficientnet_b0,noaug,atopic_dermatitis,0.6363636363636364,0.35,0.45161290322580644,20
40,efficientnet_b0,aug_light,atopic_dermatitis,0.625,0.75,0.6818181818181818,20
40,efficientnet_b0,noaug,atopic_dermatitis,0.6296296296296297,0.85,0.723404255319149,20
48,efficientnet_b0,aug_light,atopic_dermatitis,0.631578947368421,0.6,0.6153846153846154,20
48,efficientnet_b0,noaug,atopic_dermatitis,0.6666666666666666,0.7,0.6829268292682927,20
56,efficientnet_b0,aug_light,atopic_dermatitis,0.7647058823529411,0.65,0.7027027027027027,20
56,efficientnet_b0,noaug,atopic_dermatitis,0.7142857142857143,0.75,0.7317073170731707,20
64,efficientnet_b0,aug_light,atopic_dermatitis,0.6333333333333333,0.95,0.76,20
64,efficientnet_b0,noaug,atopic_dermatitis,0.68,0.85,0.7555555555555555,20
80,efficientnet_b0,aug_light,atopic_dermatitis,0.6956521739130435,0.8,0.7441860465116279,20
