aug,model,mean_test_acc,std_test_acc,n_sizes,mean_macro_f1,std_macro_f1,best_size,best_acc
aug_light,densenet121,0.7875,0.06592131414132801,14,0.7870238166203125,0.06802280916556336,192,0.8666666666666667
aug_light,efficientnet_b0,0.7910714285714285,0.07619870319593615,14,0.789870337153466,0.0787506677348549,299,0.9083333333333333
aug_light,inception_v3,0.7888888888888889,0.07916666666666665,9,0.7892280189921145,0.07977090478131676,224,0.9083333333333333
aug_light,mobilenet_v2,0.6648809523809524,0.14774583206077552,14,0.6517813983397035,0.1682202870131845,160,0.8
aug_light,resnet50,0.8136904761904761,0.03677826008854168,14,0.8136787259790463,0.03915553401815067,256,0.875
noaug,densenet121,0.7970238095238095,0.05572052734205922,14,0.7963575345222943,0.056632059914516766,299,0.9
noaug,efficientnet_b0,0.7845238095238095,0.06096246768645825,14,0.7817039664908938,0.06355880339761795,299,0.8916666666666667
noaug,inception_v3,0.7953703703703704,0.04878935575069531,9,0.7920689583290998,0.05150503927644395,299,0.8666666666666667
noaug,mobilenet_v2,0.7785714285714286,0.06402742849366672,14,0.7734566643299389,0.06605014564340236,192,0.8583333333333333
noaug,resnet50,0.8172619047619047,0.04569785170873632,14,0.8132113279846221,0.04973519382997218,192,0.875
